,Tenure,WarehouseToHome,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,DaySinceLastOrder,CashbackAmount,Churn
3721,1.0,16.0,5,Mobile Phone,5,Married,5,0,3.0,169.0,1
202,1.0,22.0,4,Mobile Phone,3,Married,3,0,3.0,151.1,1
3523,19.0,8.0,3,Grocery,5,Divorced,9,0,9.0,270.48,0
1138,10.0,8.0,6,Fashion,5,Married,4,1,,227.52,0
834,13.0,15.0,3,Laptop & Accessory,5,Married,1,0,1.0,154.73,0
3171,6.0,15.0,2,Laptop & Accessory,1,Married,3,0,9.0,187.09,0
1257,13.0,8.0,3,Laptop & Accessory,4,Married,8,0,3.0,157.15,0
287,1.0,13.0,4,Mobile Phone,1,Married,3,1,3.0,81.0,0
1620,17.0,26.0,3,Mobile Phone,4,Single,2,0,3.0,134.2,0
234,0.0,11.0,4,Fashion,2,Married,2,1,,228.08,0
1297,,6.0,4,Mobile Phone,3,Married,7,0,7.0,122.58,0
1210,16.0,,3,Mobile Phone,1,Single,1,0,7.0,124.55,0
97,4.0,15.0,2,Fashion,5,Married,2,1,8.0,239.16000000000005,0
1785,14.0,9.0,4,Laptop & Accessory,2,Single,3,0,9.0,171.61,0
3276,1.0,9.0,4,Mobile Phone,5,Married,3,0,1.0,148.41,0
3566,7.0,12.0,5,Fashion,1,Married,6,0,3.0,196.19,0
1713,7.0,6.0,1,Laptop & Accessory,2,Married,1,0,9.0,197.25,0
1361,13.0,6.0,3,Laptop & Accessory,3,Single,4,1,0.0,147.28,1
3099,1.0,34.0,4,Laptop & Accessory,1,Single,3,1,8.0,183.13,1
3723,3.0,34.0,3,Laptop & Accessory,2,Divorced,2,0,9.0,157.75,0
3299,8.0,35.0,5,Laptop & Accessory,3,Married,3,0,8.0,192.12,0
2992,9.0,16.0,3,Fashion,5,Married,8,1,7.0,183.21,0
1810,17.0,15.0,4,Laptop & Accessory,3,Married,6,1,3.0,170.22,0
105,5.0,11.0,3,Laptop & Accessory,4,Married,2,0,3.0,165.24,0
2779,0.0,8.0,3,Mobile Phone,5,Married,1,0,2.0,130.41,1
3625,1.0,18.0,4,Laptop & Accessory,5,Married,3,1,4.0,172.41,0
3613,21.0,16.0,4,Mobile Phone,3,Single,6,0,1.0,146.05,0
1370,29.0,9.0,4,Fashion,4,Married,5,0,3.0,234.76,0
1642,1.0,25.0,4,Mobile Phone,2,Single,3,0,1.0,151.93,1
1040,19.0,7.0,1,Grocery,5,Single,2,0,12.0,275.67,0
2120,0.0,9.0,4,Mobile Phone,1,Married,1,1,0.0,128.53,1
3097,11.0,6.0,3,Laptop & Accessory,4,Married,1,0,8.0,144.4,0
774,0.0,8.0,3,Mobile Phone,3,Single,7,0,1.0,143.82,1
229,18.0,27.0,4,Mobile Phone,4,Single,3,0,4.0,159.2,0
2209,8.0,9.0,4,Laptop & Accessory,1,Single,3,0,5.0,187.74,0
1558,,13.0,4,Mobile Phone,4,Married,2,0,1.0,121.41,0
1436,1.0,7.0,5,Laptop & Accessory,3,Single,3,0,3.0,171.17,0
2875,3.0,30.0,4,Mobile Phone,1,Single,11,0,3.0,147.01,0
2023,0.0,16.0,4,Laptop & Accessory,1,Married,2,1,4.0,157.69,0
3394,14.0,18.0,4,Laptop & Accessory,3,Married,3,0,5.0,188.23,0
1146,21.0,13.0,3,Laptop & Accessory,5,Married,5,0,2.0,154.86,0
2696,7.0,16.0,3,Mobile Phone,3,Single,2,1,2.0,129.36,1
2669,10.0,31.0,4,Laptop & Accessory,2,Married,8,0,3.0,157.31,0
3325,11.0,35.0,3,Laptop & Accessory,2,Divorced,4,0,7.0,162.61,0
1168,9.0,15.0,4,Mobile Phone,2,Divorced,3,0,3.0,150.72,0
2876,9.0,6.0,4,Laptop & Accessory,3,Married,1,0,2.0,143.74,0
3630,9.0,25.0,4,Laptop & Accessory,5,Married,2,0,5.0,180.61,0
3219,1.0,16.0,4,Laptop & Accessory,5,Married,6,0,8.0,178.46,1
2124,0.0,6.0,4,Laptop & Accessory,2,Divorced,7,0,2.0,147.75,0
3075,14.0,29.0,3,Fashion,3,Single,4,1,2.0,170.82,0
2123,28.0,18.0,4,Grocery,1,Married,5,0,13.0,285.32,0
475,4.0,9.0,4,Mobile Phone,4,Married,3,0,1.0,149.76,0
1029,13.0,15.0,4,Laptop & Accessory,1,Married,10,0,2.0,148.76,0
3778,50.0,6.0,1,Laptop & Accessory,3,Divorced,1,0,8.0,149.0,0
2453,,26.0,3,Mobile Phone,4,Married,1,1,4.0,121.48,1
1674,9.0,16.0,4,Laptop & Accessory,3,Married,2,1,7.0,156.73,0
1923,5.0,10.0,4,Fashion,3,Married,11,0,3.0,261.75,0
902,0.0,10.0,1,Laptop & Accessory,4,Married,2,1,3.0,161.42,0
3142,12.0,7.0,4,Laptop & Accessory,1,Married,9,0,10.0,172.35,0
1191,1.0,36.0,5,Laptop & Accessory,3,Single,3,0,9.0,170.08,1
215,0.0,10.0,3,Mobile Phone,2,Single,2,1,2.0,128.75,0
12,1.0,7.0,4,Mobile Phone,3,Divorced,5,0,3.0,154.09,1
3789,2.0,12.0,3,Mobile Phone,1,Married,2,0,8.0,131.31,0
431,1.0,19.0,5,Mobile Phone,5,Married,3,0,1.0,145.33,1
1887,,26.0,3,Laptop & Accessory,3,Single,1,0,2.0,122.72,0
2365,14.0,6.0,4,Others,3,Married,2,0,10.0,291.89,0
1176,7.0,9.0,3,Mobile Phone,2,Divorced,1,0,2.0,137.37,0
1181,14.0,31.0,4,Laptop & Accessory,2,Married,3,0,8.0,158.19,0
1714,1.0,11.0,3,Mobile Phone,5,Divorced,4,0,3.0,153.19,0
770,,11.0,3,Mobile Phone,4,Single,2,1,0.0,118.78,1
3383,5.0,19.0,4,Laptop & Accessory,1,Married,2,1,6.0,183.55,0
1392,15.0,13.0,5,Laptop & Accessory,4,Single,8,1,3.0,185.32,0
1811,9.0,9.0,3,Mobile Phone,1,Married,6,0,0.0,128.35,0
3513,16.0,31.0,4,Fashion,1,Married,6,0,0.0,207.98,0
2168,28.0,8.0,4,Mobile Phone,1,Married,9,0,4.0,126.62,0
2131,2.0,13.0,3,Laptop & Accessory,1,Married,2,1,0.0,166.23,0
524,1.0,30.0,5,Laptop & Accessory,3,Married,3,0,9.0,160.4,0
666,6.0,21.0,3,Laptop & Accessory,1,Married,1,1,1.0,12.0,0
616,8.0,24.0,3,Fashion,1,Single,3,0,2.0,193.62,0
3291,14.0,15.0,5,Fashion,4,Married,4,0,9.0,262.57,0
3838,1.0,35.0,5,Laptop & Accessory,4,Married,2,0,7.0,165.49,0
1052,3.0,22.0,6,Mobile Phone,1,Married,2,1,4.0,146.68,0
3733,17.0,32.0,5,Fashion,2,Married,7,0,1.0,259.0,0
3388,28.0,8.0,5,Others,3,Divorced,5,0,11.0,291.87,0
533,21.0,10.0,3,Fashion,1,Single,2,0,8.0,178.98,0
1109,1.0,8.0,4,Mobile Phone,4,Divorced,1,0,4.0,132.01,0
1759,12.0,14.0,3,Laptop & Accessory,5,Married,3,1,8.0,181.05,0
592,23.0,6.0,3,Grocery,2,Married,10,0,3.0,273.99,0
3827,3.0,35.0,4,Mobile Phone,1,Married,6,0,8.0,150.14,0
3512,5.0,27.0,4,Mobile Phone,4,Single,3,1,3.0,156.4,1
1397,10.0,15.0,5,Mobile Phone,5,Married,2,0,4.0,148.42,0
2459,20.0,14.0,4,Mobile Phone,3,Married,10,0,9.0,148.39,1
2153,6.0,16.0,6,Laptop & Accessory,1,Married,2,0,8.0,171.68,0
3590,,11.0,1,Mobile Phone,3,Divorced,3,1,3.0,121.27,0
1877,0.0,13.0,4,Fashion,2,Married,10,0,,215.57,0
124,6.0,6.0,1,Grocery,3,Married,5,0,5.0,261.84,0
1508,8.0,8.0,5,Fashion,3,Married,3,1,7.0,195.83,0
1784,4.0,6.0,5,Laptop & Accessory,5,Married,2,0,7.0,150.03,0
223,4.0,8.0,4,Laptop & Accessory,5,Divorced,4,0,0.0,164.1,0
852,8.0,7.0,5,Laptop & Accessory,5,Single,2,0,10.0,178.43,0
3795,8.0,9.0,5,Laptop & Accessory,5,Divorced,8,0,10.0,184.57,0
365,20.0,33.0,5,Laptop & Accessory,4,Single,10,0,3.0,204.91,0
101,19.0,21.0,3,Others,4,Married,6,0,3.0,290.81,0
3385,9.0,16.0,5,Fashion,3,Married,3,1,16.0,231.85,0
568,1.0,24.0,4,Mobile Phone,3,Married,2,1,1.0,152.41,1
2147,4.0,32.0,4,Laptop & Accessory,3,Married,9,1,3.0,172.36,0
2039,18.0,15.0,3,Fashion,5,Married,5,1,2.0,207.61,0
263,2.0,11.0,4,Laptop & Accessory,3,Married,3,0,5.0,167.21,0
3598,7.0,11.0,5,Mobile Phone,4,Married,10,0,3.0,163.38,0
2868,1.0,7.0,5,Laptop & Accessory,1,Married,1,0,5.0,166.74,0
3361,15.0,8.0,1,Laptop & Accessory,5,Divorced,8,0,3.0,162.72,0
2997,12.0,9.0,4,Laptop & Accessory,5,Married,5,0,8.0,193.93,0
3353,15.0,29.0,4,Laptop & Accessory,1,Married,5,1,4.0,179.67,0
2166,6.0,17.0,4,Fashion,1,Single,4,0,1.0,237.44,0
1323,6.0,34.0,3,Laptop & Accessory,3,Married,2,1,7.0,152.07,0
3022,6.0,15.0,2,Laptop & Accessory,3,Married,7,0,4.0,176.75,0
1716,6.0,15.0,4,Fashion,1,Single,3,0,,214.98,0
1965,9.0,27.0,3,Laptop & Accessory,4,Married,5,0,7.0,189.26,1
1100,20.0,11.0,3,Others,3,Divorced,5,0,1.0,283.0,0
3501,17.0,,3,Mobile Phone,5,Married,2,1,1.0,125.59,0
2837,8.0,6.0,5,Mobile Phone,1,Married,2,0,1.0,129.77,0
2915,11.0,16.0,5,Laptop & Accessory,4,Married,3,0,4.0,166.89,0
466,9.0,14.0,4,Mobile Phone,3,Married,3,0,1.0,149.04,0
473,9.0,7.0,4,Fashion,4,Divorced,3,0,7.0,197.95,0
2772,7.0,14.0,4,Laptop & Accessory,5,Divorced,2,0,4.0,168.73,0
961,5.0,11.0,3,Mobile Phone,4,Single,3,0,7.0,127.18,0
2454,0.0,21.0,3,Fashion,3,Divorced,8,1,7.0,236.1,1
1978,23.0,9.0,4,Others,1,Married,5,0,4.0,316.61,0
2969,0.0,22.0,1,Mobile Phone,5,Single,2,0,14.0,127.43,1
388,27.0,9.0,5,Grocery,1,Married,4,0,8.0,279.27,0
3631,8.0,24.0,3,Laptop & Accessory,3,Divorced,2,0,0.0,146.01,0
1496,13.0,16.0,4,Laptop & Accessory,5,Married,3,0,10.0,176.51,0
2183,,6.0,5,Mobile Phone,4,Single,8,1,7.0,122.16,1
964,0.0,11.0,4,Fashion,1,Married,2,1,,228.08,0
982,3.0,20.0,5,Laptop & Accessory,4,Married,6,1,4.0,165.25,0
3525,25.0,33.0,4,Grocery,3,Married,4,0,18.0,288.07,0
1338,3.0,26.0,3,Laptop & Accessory,5,Divorced,1,0,2.0,199.57,0
1831,0.0,29.0,4,Laptop & Accessory,3,Married,2,0,8.0,135.4,0
686,,8.0,3,Mobile Phone,3,Married,7,0,2.0,122.31,0
59,8.0,26.0,5,Mobile Phone,1,Married,3,0,8.0,154.29,0
3547,17.0,11.0,5,Fashion,1,Single,5,0,,227.31,0
3505,13.0,8.0,3,Laptop & Accessory,1,Single,2,0,8.0,146.61,0
3103,28.0,16.0,4,Laptop & Accessory,3,Married,5,0,4.0,153.97,0
3937,8.0,7.0,2,Mobile Phone,2,Single,4,0,4.0,157.8,0
3772,11.0,13.0,4,Laptop & Accessory,1,Single,1,0,5.0,140.28,0
2958,9.0,16.0,5,Laptop & Accessory,4,Single,11,0,1.0,190.4,0
2861,14.0,15.0,3,Others,3,Married,3,0,11.0,294.19,0
3933,25.0,15.0,5,Fashion,4,Married,7,0,8.0,249.9,0
681,3.0,16.0,5,Mobile Phone,2,Single,2,0,3.0,164.83,0
1513,4.0,13.0,3,Laptop & Accessory,5,Married,2,0,12.0,143.06,0
878,1.0,9.0,4,Mobile Phone,1,Married,2,0,2.0,150.23,0
558,16.0,9.0,4,Grocery,5,Married,2,0,8.0,301.65,0
2205,31.0,31.0,3,Fashion,2,Married,5,1,,219.39,0
1641,13.0,13.0,2,Fashion,3,Married,4,0,7.0,207.37,0
1509,14.0,19.0,4,Laptop & Accessory,5,Married,4,0,8.0,169.48,0
2346,6.0,15.0,2,Laptop & Accessory,2,Divorced,3,0,9.0,187.09,0
3686,22.0,8.0,4,Laptop & Accessory,4,Married,3,0,8.0,153.9,0
2810,1.0,17.0,5,Mobile Phone,4,Single,3,1,1.0,143.59,1
1143,11.0,6.0,4,Fashion,3,Single,10,1,0.0,153.81,1
3044,3.0,10.0,4,Laptop & Accessory,3,Divorced,6,1,1.0,177.38,1
3224,30.0,30.0,1,Fashion,1,Married,4,1,4.0,194.39,0
1781,14.0,,3,Mobile Phone,3,Married,5,0,8.0,124.51,0
3264,1.0,12.0,2,Laptop & Accessory,5,Married,3,0,6.0,165.0,0
1730,19.0,16.0,4,Laptop & Accessory,4,Married,10,0,16.0,148.48,0
1304,26.0,7.0,5,Others,3,Divorced,2,0,10.0,324.99,0
3773,16.0,6.0,3,Laptop & Accessory,2,Divorced,5,0,2.0,155.62,0
2263,1.0,8.0,6,Mobile Phone,3,Single,3,0,1.0,138.59,1
1685,,8.0,1,Mobile Phone,2,Divorced,2,0,7.0,120.11,0
3094,11.0,23.0,4,Fashion,3,Married,1,0,9.0,188.23,0
2245,0.0,13.0,3,Mobile Phone,3,Divorced,2,1,2.0,128.86,1
2699,13.0,9.0,2,Fashion,3,Single,2,0,8.0,203.8,0
2002,0.0,8.0,4,Mobile Phone,2,Single,2,0,0.0,111.02,1
2745,16.0,10.0,4,Fashion,2,Single,4,0,17.0,202.31,0
1705,20.0,9.0,4,Others,1,Married,9,1,3.0,318.28,0
444,19.0,8.0,3,Grocery,3,Married,7,0,1.0,278.61,0
2447,6.0,20.0,4,Laptop & Accessory,1,Married,4,0,4.0,169.03,0
240,1.0,14.0,4,Mobile Phone,4,Single,3,1,1.0,149.72,1
1192,1.0,19.0,4,Mobile Phone,1,Single,3,0,5.0,151.47,0
3088,14.0,11.0,1,Laptop & Accessory,4,Single,4,0,2.0,168.7,0
110,24.0,12.0,4,Mobile Phone,3,Single,1,0,7.0,128.38,0
3846,2.0,14.0,5,Laptop & Accessory,5,Married,4,0,7.0,197.15,0
814,18.0,29.0,3,Laptop & Accessory,5,Married,2,1,8.0,136.33,0
2530,4.0,29.0,4,Laptop & Accessory,1,Married,1,0,8.0,155.82,0
165,11.0,16.0,3,Laptop & Accessory,3,Married,4,0,2.0,160.77,0
293,11.0,9.0,3,Laptop & Accessory,2,Single,9,1,0.0,168.61,0
1312,19.0,6.0,3,Fashion,5,Married,8,0,3.0,193.96,0
256,29.0,21.0,2,Others,4,Single,10,0,16.0,312.22,0
1881,8.0,13.0,3,Fashion,3,Single,4,0,6.0,202.21,0
2967,18.0,,3,Laptop & Accessory,4,Married,9,0,15.0,123.48,0
2891,11.0,9.0,4,Laptop & Accessory,3,Married,6,1,,221.02,0
2075,7.0,25.0,3,Laptop & Accessory,4,Married,5,0,10.0,144.44,0
800,15.0,13.0,4,Mobile Phone,5,Single,4,1,18.0,172.21,0
1098,29.0,15.0,3,Grocery,2,Divorced,8,0,,211.03,0
820,19.0,9.0,5,Grocery,2,Divorced,11,0,9.0,292.92,0
1699,1.0,8.0,4,Mobile Phone,3,Married,5,0,3.0,154.09,1
2710,1.0,9.0,5,Mobile Phone,1,Single,2,0,2.0,164.04,0
965,13.0,29.0,4,Fashion,5,Single,3,1,9.0,233.8,0
